model,layer,pair,procrustes_sim
Mistral-7B,11,EN–KY,0.858
Mistral-7B,11,RU–KY,0.8764
Mistral-7B,12,EN–RU,0.889
Mistral-7B,12,EN–KY,0.8573
Mistral-7B,12,RU–KY,0.8754
Mistral-7B,13,EN–RU,0.8889
Mistral-7B,13,EN–KY,0.8572
Mistral-7B,13,RU–KY,0.8749
Mistral-7B,14,EN–RU,0.889
Mistral-7B,14,EN–KY,0.8566
Mistral-7B,14,RU–KY,0.8745
Mistral-7B,15,EN–RU,0.8897
Mistral-7B,15,EN–KY,0.8568
Mistral-7B,15,RU–KY,0.8738
Mistral-7B,16,EN–RU,0.8898
Mistral-7B,16,EN–KY,0.8546
Mistral-7B,16,RU–KY,0.8717
Mistral-7B,17,EN–RU,0.8904
Mistral-7B,17,EN–KY,0.8542
Mistral-7B,17,RU–KY,0.8703
Mistral-7B,18,EN–RU,0.8903
Mistral-7B,18,EN–KY,0.8534
Mistral-7B,18,RU–KY,0.8687
Mistral-7B,19,EN–RU,0.8895
Mistral-7B,19,EN–KY,0.8493
Mistral-7B,19,RU–KY,0.8638
Mistral-7B,20,EN–RU,0.8885
Mistral-7B,20,EN–KY,0.8376
Mistral-7B,20,RU–KY,0.8532
Mistral-7B,21,EN–RU,0.8873
Mistral-7B,21,EN–KY,0.8271
Mistral-7B,21,RU–KY,0.8439
Mistral-7B,22,EN–RU,0.8858
Mistral-7B,22,EN–KY,0.8147
Mistral-7B,22,RU–KY,0.8329
Mistral-7B,23,EN–RU,0.8852
Mistral-7B,23,EN–KY,0.8114
Mistral-7B,23,RU–KY,0.8304
Mistral-7B,24,EN–RU,0.8835
Mistral-7B,24,EN–KY,0.8018
Mistral-7B,24,RU–KY,0.8219
Mistral-7B,25,EN–RU,0.8818
Mistral-7B,25,EN–KY,0.7915
Mistral-7B,25,RU–KY,0.812
Mistral-7B,26,EN–RU,0.8807
Mistral-7B,26,EN–KY,0.7846
Mistral-7B,26,RU–KY,0.8048
Mistral-7B,27,EN–RU,0.8788
Mistral-7B,27,EN–KY,0.7764
Mistral-7B,27,RU–KY,0.7954
Mistral-7B,28,EN–RU,0.8759
Mistral-7B,28,EN–KY,0.7697
Mistral-7B,28,RU–KY,0.7861
Mistral-7B,29,EN–RU,0.8732
Mistral-7B,29,EN–KY,0.7639
Mistral-7B,29,RU–KY,0.7762
Mistral-7B,30,EN–RU,0.8705
Mistral-7B,30,EN–KY,0.7541
Mistral-7B,30,RU–KY,0.7669
Mistral-7B,31,EN–RU,0.8658
Mistral-7B,31,EN–KY,0.7354
Mistral-7B,31,RU–KY,0.745
Mistral-7B,32,EN–RU,0.7857
Mistral-7B,32,EN–KY,0.6036
Mistral-7B,32,RU–KY,0.6315
Llama-3.1-8B,0,EN–RU,0.8598
Llama-3.1-8B,0,EN–KY,0.7071
Llama-3.1-8B,0,RU–KY,0.6933
Llama-3.1-8B,1,EN–RU,0.897
Llama-3.1-8B,1,EN–KY,0.8163
Llama-3.1-8B,1,RU–KY,0.8
Llama-3.1-8B,2,EN–RU,0.9154
Llama-3.1-8B,2,EN–KY,0.8644
Llama-3.1-8B,2,RU–KY,0.8414
Llama-3.1-8B,3,EN–RU,0.9153
Llama-3.1-8B,3,EN–KY,0.8643
Llama-3.1-8B,3,RU–KY,0.8413
Llama-3.1-8B,4,EN–RU,0.9153
Llama-3.1-8B,4,EN–KY,0.8642
Llama-3.1-8B,4,RU–KY,0.8413
Llama-3.1-8B,5,EN–RU,0.9152
Llama-3.1-8B,5,EN–KY,0.8641
Llama-3.1-8B,5,RU–KY,0.8412
Llama-3.1-8B,6,EN–RU,0.9151
Llama-3.1-8B,6,EN–KY,0.8639
Llama-3.1-8B,6,RU–KY,0.8411
Llama-3.1-8B,7,EN–RU,0.915
Llama-3.1-8B,7,EN–KY,0.8637
Llama-3.1-8B,7,RU–KY,0.8409
Llama-3.1-8B,8,EN–RU,0.915
Llama-3.1-8B,8,EN–KY,0.8633
Llama-3.1-8B,8,RU–KY,0.8407
Llama-3.1-8B,9,EN–RU,0.9149
Llama-3.1-8B,9,EN–KY,0.863
Llama-3.1-8B,9,RU–KY,0.8405
Llama-3.1-8B,10,EN–RU,0.9149
Llama-3.1-8B,10,EN–KY,0.8628
Llama-3.1-8B,10,RU–KY,0.8405
Llama-3.1-8B,11,EN–RU,0.915
Llama-3.1-8B,11,EN–KY,0.8626
Llama-3.1-8B,11,RU–KY,0.8404
Llama-3.1-8B,12,EN–RU,0.915
Llama-3.1-8B,12,EN–KY,0.8628
Llama-3.1-8B,12,RU–KY,0.8406
Llama-3.1-8B,13,EN–RU,0.915
Llama-3.1-8B,13,EN–KY,0.8623
Llama-3.1-8B,13,RU–KY,0.8403
Llama-3.1-8B,14,EN–RU,0.9149
Llama-3.1-8B,14,EN–KY,0.862
Llama-3.1-8B,14,RU–KY,0.8399
Llama-3.1-8B,15,EN–RU,0.9147
Llama-3.1-8B,15,EN–KY,0.8611
Llama-3.1-8B,15,RU–KY,0.8392
Llama-3.1-8B,16,EN–RU,0.9147
Llama-3.1-8B,16,EN–KY,0.8602
Llama-3.1-8B,16,RU–KY,0.8384
Llama-3.1-8B,17,EN–RU,0.9144
Llama-3.1-8B,17,EN–KY,0.8582
Llama-3.1-8B,17,RU–KY,0.837
Llama-3.1-8B,18,EN–RU,0.9139
Llama-3.1-8B,18,EN–KY,0.8563
Llama-3.1-8B,18,RU–KY,0.8356
Llama-3.1-8B,19,EN–RU,0.9132
Llama-3.1-8B,19,EN–KY,0.8526
Llama-3.1-8B,19,RU–KY,0.8323
Llama-3.1-8B,20,EN–RU,0.9127
Llama-3.1-8B,20,EN–KY,0.8495
Llama-3.1-8B,20,RU–KY,0.8298
Llama-3.1-8B,21,EN–RU,0.9121
Llama-3.1-8B,21,EN–KY,0.846
Llama-3.1-8B,21,RU–KY,0.8268
Llama-3.1-8B,22,EN–RU,0.9103
Llama-3.1-8B,22,EN–KY,0.8412
Llama-3.1-8B,22,RU–KY,0.8229
Llama-3.1-8B,23,EN–RU,0.9088
Llama-3.1-8B,23,EN–KY,0.8373
Llama-3.1-8B,23,RU–KY,0.8197
Llama-3.1-8B,24,EN–RU,0.9069
Llama-3.1-8B,24,EN–KY,0.8335
Llama-3.1-8B,24,RU–KY,0.8164
Llama-3.1-8B,25,EN–RU,0.9047
Llama-3.1-8B,25,EN–KY,0.8247
Llama-3.1-8B,25,RU–KY,0.8078
Llama-3.1-8B,26,EN–RU,0.9022
Llama-3.1-8B,26,EN–KY,0.8205
Llama-3.1-8B,26,RU–KY,0.8034
Llama-3.1-8B,27,EN–RU,0.9
Llama-3.1-8B,27,EN–KY,0.8125
Llama-3.1-8B,27,RU–KY,0.7955
Llama-3.1-8B,28,EN–RU,0.8972
Llama-3.1-8B,28,EN–KY,0.8071
Llama-3.1-8B,28,RU–KY,0.791
Llama-3.1-8B,29,EN–RU,0.8953
Llama-3.1-8B,29,EN–KY,0.8036
Llama-3.1-8B,29,RU–KY,0.7873
Llama-3.1-8B,30,EN–RU,0.8926
Llama-3.1-8B,30,EN–KY,0.7931
Llama-3.1-8B,30,RU–KY,0.7812
Llama-3.1-8B,31,EN–RU,0.8864
Llama-3.1-8B,31,EN–KY,0.7829
Llama-3.1-8B,31,RU–KY,0.7757
Llama-3.1-8B,32,EN–RU,0.8089
Llama-3.1-8B,32,EN–KY,0.6568
Llama-3.1-8B,32,RU–KY,0.7044
