model,lang,layer,acc,z_score
gemma4,ky,5,0.4432432532310486,27.28848206587073
gemma4,ky,6,0.4391891956329345,26.8884257913702
gemma4,ky,7,0.431081086397171,26.08831383055054
gemma4,ky,8,0.4162162184715271,24.621441804350912
gemma4,ky,9,0.4054054200649261,23.554627229014574
gemma4,ky,10,0.3959459543228149,22.621162784573805
gemma4,ky,11,0.3918919026851654,22.221107098254667
gemma4,ky,12,0.3614864945411682,19.22068739222625
gemma4,ky,13,0.3662162244319916,19.687419320355943
gemma4,ky,14,0.3594594657421112,19.020659254975982
gemma4,ky,15,0.329054057598114,16.020239548947565
gemma4,ky,16,0.3270270347595215,15.820211999878687
gemma4,ky,17,0.3256756842136383,15.68686010443897
gemma4,ky,18,0.2959459543228149,12.753116640221098
gemma4,ky,19,0.2858108162879944,11.752976542151167
gemma4,ky,20,0.3087837934494019,14.019960529170469
gemma4,ky,21,0.3317567646503448,16.286943928008377
gemma4,ky,22,0.3628378450870514,19.354039287665966
gemma4,ky,23,0.3716216266155243,20.220826902114798
gemma4,ky,24,0.3182432472705841,14.953423797248467
gemma4,ky,25,0.3222973048686981,15.353480071748994
gemma4,ky,26,0.3135135233402252,14.486692457300157
gemma4,ky,27,0.3094594657421112,14.086636182799628
gemma4,ky,28,0.3229729831218719,15.420156313559538
gemma4,ky,29,0.3358108222484589,16.68700020250891
gemma4,ky,30,0.3567567646503448,18.75395546409655
gemma4,ky,31,0.3810810923576355,21.154291346555567
gemma4,ky,32,0.3837837874889374,21.420994549253614
gemma4,ky,33,0.3891891956329346,21.954402719193855
gemma4,ky,34,0.3918919026851654,22.221107098254667
gemma4,ky,35,0.383108115196228,21.354318895624445
gemma4,ky,36,0.3831081271171569,21.35432007198721
gemma4,ky,37,0.3682432532310485,19.887447457606196
gemma4,ky,38,0.3533783853054046,18.420575431406572
gemma4,ky,39,0.3439189314842224,17.48711216332858
gemma4,ky,40,0.3614865005016326,19.220687980407625
gemma4,ky,41,0.3614865005016326,19.220687980407625
gemma4,ky,42,0.3513513624668121,18.220547882337694
qwen3,ky,0,0.3567567646503448,8.81107731570102
qwen3,ky,1,0.4209459543228149,11.79628535211892
qwen3,ky,2,0.4229729771614074,11.890554884085985
qwen3,ky,3,0.4222973048686981,11.859131799163544
qwen3,ky,4,0.4229729831218719,11.890555161285725
qwen3,ky,5,0.4459459602832794,12.95894559264353
qwen3,ky,6,0.4628378450870514,13.744526319301192
qwen3,ky,7,0.4675675809383392,13.964489299756975
qwen3,ky,8,0.477027040719986,14.404414706269076
qwen3,ky,9,0.4756756961345673,14.341568536424193
qwen3,ky,10,0.4648648798465729,13.838796405667733
qwen3,ky,11,0.4587837934494018,13.555986978167319
qwen3,ky,12,0.4459459543228149,12.958945315443795
qwen3,ky,13,0.4547297418117523,13.36744763703345
qwen3,ky,14,0.4459459602832794,12.95894559264353
qwen3,ky,15,0.4412162244319916,12.738982612187746
qwen3,ky,16,0.4500000059604644,13.147484656577662
qwen3,ky,17,0.4472973108291626,13.021792039688155
qwen3,ky,18,0.4344594717025757,12.42475037696463
qwen3,ky,19,0.4520270347595215,13.241754465744467
qwen3,ky,20,0.4250000119209289,11.984824970452523
qwen3,ky,21,0.4324324429035187,12.330480567797826
qwen3,ky,22,0.4175675809383392,11.639169373107228
qwen3,ky,23,0.4479729831218719,13.053215124610594
qwen3,ky,24,0.4533783912658691,13.304601189988826
qwen3,ky,25,0.4770270347595214,14.404414429069336
qwen3,ky,26,0.4675675749778747,13.96448902255724
qwen3,ky,27,0.4777027070522308,14.43583751399178
qwen3,ky,28,0.4750000178813934,14.310145174302008
qwen3,ky,29,0.4709459662437439,14.12160583316814
qwen3,ky,30,0.4628378570079803,13.744526873700663
qwen3,ky,31,0.4506756842136383,13.178908018699843
qwen3,ky,32,0.4567567586898803,13.46171689180078
qwen3,ky,33,0.4445946037769318,12.89609886839917
qwen3,ky,34,0.4432432532310486,12.833252421354546
qwen3,ky,35,0.4263513505458832,12.047670863097677
qwen3,ky,36,0.4418919026851654,12.770405974309927
